EDX cell sector AFP compatibility matrix
   76   13.00    5.00    1.76    1.00
ABAA0001    25.40   105.03     3.08    2    2    0    2
   14   37
     ABAA0001   0.0
     ABAA0002  10.2
     ABAA0003  18.2
     ABAB0001   0.0
     ABAB0002   0.0
     ABAB0003   0.0
     ABAC0001   6.8
     ABAC0002   0.0
     ABAC0003   0.0
     ABAD0002   0.1
     ABAD0003   0.0
     ABAE0001   1.2
     ABAE0002   0.0
     ABAE0003   0.0
     ABAF0001   2.3
     ABAF0002  29.7
     ABAF0003  30.6
     ABAG0001   1.2
     ABAG0002   0.2
     ABAG0003  15.2
     ABAH0001   3.7
     ABAH0002   0.0
     ABAH0003   0.0
     ABAI0001   0.5
     ABAI0002   0.0
     ABAI0003   0.0
     ABAJ0001   0.7
     ABAJ0002   1.1
     ABAK0001   0.3
     ABAK0002   0.0
     ABAL0001   0.0
     ABAL0002   1.3
     ABAL0003   0.0
     ABAM0001   1.5
     ABAM0002   0.5
     ABAN0001   0.1
     ABAN0002   0.5
     ABAN0003   0.0
     ABAO0001  22.4
     ABAO0002   0.0
     ABAO0003   0.5
     ABAP0001   2.9
     ABAP0002   0.0
     ABAQ0003   0.6
     ABAQ0004   0.0
     ABAR0001   0.5
     ABAR0002   0.0
     ABAS0003   2.5
     ABAS0004   0.7
     ABAT0001   0.4
     ABAT0002   9.4
     ABAV0002   1.7
     ABAV0003  10.5
     ABAW0001   6.5
     ABAW0002   6.6
     ABAX0001   0.0
     ABAX0002   0.0
     ABAX0003   0.0
     ABAY0002   3.3
     ABAY0003   1.2
     ABAZ0001   0.4
     ABAZ0002   0.1
     ABBA0001   0.4
     ABBA0002   0.0
     ABBB0002   1.0
     ABBB0003   0.1
     ABBC0001   5.8
     ABBC0002   0.0
     ABBD0002   0.0
     ABBE0001   0.0
     ABBE0002   0.0
     ABBF0001   2.7
     ABBF0003  59.4
     ABBG0001   0.8
     ABBG0002   0.0
     ABBH0003   0.7
ABAA0002    56.09   170.97     5.01    2    2    0    2
   17   22
     ABAA0001   7.5
     ABAA0002   0.0
     ABAA0003   5.2
     ABAB0001   0.0
     ABAB0002   0.0
     ABAB0003   0.0
     ABAC0001   2.9
     ABAC0002   0.0
     ABAC0003   0.0
     ABAD0002   0.6
     ABAD0003   0.2
     ABAE0001   2.2
     ABAE0002   0.3
     ABAE0003   0.0
     ABAF0001   0.0
     ABAF0002  18.5
     ABAF0003   0.2
     ABAG0001   0.0
     ABAG0002   1.6
     ABAG0003   1.0
     ABAH0001   1.2
     ABAH0002   0.9
     ABAH0003   0.0
     ABAI0001   0.4
     ABAI0002   0.1
     ABAI0003   0.0
     ABAJ0001   2.2
     ABAJ0002  14.3
     ABAK0001   0.4
     ABAK0002   0.6
     ABAL0001   0.0
     ABAL0002   6.8
     ABAL0003   0.0
     ABAM0001   1.5
     ABAM0002   0.0
     ABAN0001   0.1
     ABAN0002   4.7
     ABAN0003   0.0
     ABAO0001   7.7
     ABAO0002   5.6
     ABAO0003   0.0
     ABAP0001  17.9
     ABAP0002   7.7
     ABAQ0003   2.4
     ABAQ0004   0.0
     ABAR0001   0.3
     ABAR0002   0.0
     ABAS0003   1.2
     ABAS0004   1.2
     ABAT0001   1.3
     ABAT0002   1.8
     ABAV0002   2.7
     ABAV0003  19.0
     ABAW0001   3.9
     ABAW0002   4.1
     ABAX0001   6.2
     ABAX0002   2.9
     ABAX0003   0.1
     ABAY0002   1.2
     ABAY0003   3.4
     ABAZ0001   0.6
     ABAZ0002   0.4
     ABBA0001   1.9
     ABBA0002   1.4
     ABBB0002   0.7
     ABBB0003   0.0
     ABBC0001   6.2
     ABBC0002   0.0
     ABBD0002   0.0
     ABBE0001   0.2
     ABBE0002   1.2
     ABBF0001   0.4
     ABBF0003  22.1
     ABBG0001   6.5
     ABBG0002   0.4
     ABBH0003   2.6
ABAA0003    44.80    77.11     2.26    1    1    0    0
    4
     ABAA0001   8.7
     ABAA0002   8.2
     ABAA0003   0.0
     ABAB0001   0.4
     ABAB0002   0.1
     ABAB0003   0.1
     ABAC0001   7.9
     ABAC0002   0.0
     ABAC0003   0.1
     ABAD0002   0.1
     ABAD0003   0.0
     ABAE0001   3.6
     ABAE0002   0.0
     ABAE0003   0.0
     ABAF0001   0.0
     ABAF0002   0.4
     ABAF0003   4.1
     ABAG0001   0.0
     ABAG0002   0.1
     ABAG0003   3.1
     ABAH0001   7.9
     ABAH0002   0.3
     ABAH0003   0.1
     ABAI0001   0.7
     ABAI0002   0.8
     ABAI0003   0.1
     ABAJ0001   0.3
     ABAJ0002   4.2
     ABAK0001   0.4
     ABAK0002   0.1
     ABAL0001   0.4
     ABAL0002   7.2
     ABAL0003   0.1
     ABAM0001   0.0
     ABAM0002   0.0
     ABAN0001   0.0
     ABAN0002   2.8
     ABAN0003   0.3
     ABAO0001  53.0
     ABAO0002   0.1
     ABAO0003  27.1
     ABAP0001   8.0
     ABAP0002   3.6
     ABAQ0003   0.0
     ABAQ0004   0.0
     ABAR0001  19.6
     ABAR0002   0.0
     ABAS0003   0.0
     ABAS0004   1.1
     ABAT0001   0.0
     ABAT0002   1.5
     ABAV0002   0.4
     ABAV0003  14.0
     ABAW0001   0.8
     ABAW0002   2.3
     ABAX0001   0.2
     ABAX0002   0.0
     ABAX0003   0.3
     ABAY0002   7.0
     ABAY0003   0.8
     ABAZ0001   0.8
     ABAZ0002   0.0
     ABBA0001   0.2
     ABBA0002   0.0
     ABBB0002   0.1
     ABBB0003   0.0
     ABBC0001  12.6
     ABBC0002   0.0
     ABBD0002   0.0
     ABBE0001   0.0
     ABBE0002   0.0
     ABBF0001   0.0
     ABBF0003  74.1
     ABBG0001   0.4
     ABBG0002   0.0
     ABBH0003   1.2
ABAB0001     9.23     4.19     0.12    1    1    0    0
   22
     ABAA0001   0.0
     ABAA0002   0.0
     ABAA0003   1.7
     ABAB0001   0.0
     ABAB0002  17.8
     ABAB0003  34.9
     ABAC0001   2.0
     ABAC0002   0.0
     ABAC0003   3.2
     ABAD0002   0.0
     ABAD0003   0.0
     ABAE0001   3.4
     ABAE0002   0.0
     ABAE0003  21.5
     ABAF0001   0.0
     ABAF0002   0.0
     ABAF0003   0.7
     ABAG0001   0.0
     ABAG0002   0.0
     ABAG0003   0.0
     ABAH0001  33.7
     ABAH0002  60.2
     ABAH0003   0.0
     ABAI0001   1.7
     ABAI0002  34.1
     ABAI0003   0.0
     ABAJ0001   0.7
     ABAJ0002   1.0
     ABAK0001   2.0
     ABAK0002   1.5
     ABAL0001   0.2
     ABAL0002   0.7
     ABAL0003   0.2
     ABAM0001   0.0
     ABAM0002   0.0
     ABAN0001   0.2
     ABAN0002   0.0
     ABAN0003   0.7
     ABAO0001   0.0
     ABAO0002   0.7
     ABAO0003  31.7
     ABAP0001   1.5
     ABAP0002  53.9
     ABAQ0003   0.0
     ABAQ0004   0.0
     ABAR0001   1.5
     ABAR0002   0.0
     ABAS0003   0.0
     ABAS0004   0.2
     ABAT0001   0.0
     ABAT0002   0.0
     ABAV0002   0.0
     ABAV0003   0.0
     ABAW0001   0.2
     ABAW0002   2.0
     ABAX0001   0.0
     ABAX0002   0.0
     ABAX0003   0.0
     ABAY0002  16.8
     ABAY0003   0.0
     ABAZ0001   9.3
     ABAZ0002   0.0
     ABBA0001  20.7
     ABBA0002   0.0
     ABBB0002   0.0
     ABBB0003   0.0
     ABBC0001   2.2
     ABBC0002   0.0
     ABBD0002   0.0
     ABBE0001   0.0
     ABBE0002   0.0
     ABBF0001   0.0
     ABBF0003   0.2
     ABBG0001   0.0
     ABBG0002   0.2
     ABBH0003   0.7
ABAB0002    15.57    21.38     0.63    1    1    0    0
   29
     ABAA0001   0.0
     ABAA0002   0.4
     ABAA0003   0.9
     ABAB0001  26.9
     ABAB0002   0.0
     ABAB0003  74.3
     ABAC0001   0.0
     ABAC0002   0.4
     ABAC0003   5.6
     ABAD0002   0.0
     ABAD0003   0.1
     ABAE0001   0.0
     ABAE0002   0.1
     ABAE0003   9.1
     ABAF0001   0.0
     ABAF0002   0.6
     ABAF0003   0.9
     ABAG0001   0.0
     ABAG0002   0.0
     ABAG0003   0.0
     ABAH0001   0.0
     ABAH0002  63.3
     ABAH0003   0.0
     ABAI0001   0.0
     ABAI0002   7.8
     ABAI0003   0.0
     ABAJ0001   0.0
     ABAJ0002   5.3
     ABAK0001   2.0
     ABAK0002   7.5
     ABAL0001   0.0
     ABAL0002   0.1
     ABAL0003   0.0
     ABAM0001   0.0
     ABAM0002   0.0
     ABAN0001   0.0
     ABAN0002   1.3
     ABAN0003   1.0
     ABAO0001   0.0
     ABAO0002   1.6
     ABAO0003   2.9
     ABAP0001   0.0
     ABAP0002  27.2
     ABAQ0003   0.0
     ABAQ0004   0.0
     ABAR0001   2.3
     ABAR0002   0.0
     ABAS0003   0.0
     ABAS0004   0.0
     ABAT0001   0.0
     ABAT0002   1.2
     ABAV0002   0.0
     ABAV0003   0.3
     ABAW0001   0.0
     ABAW0002   0.7
     ABAX0001   0.0
     ABAX0002   0.0
     ABAX0003   0.0
     ABAY0002  23.1
     ABAY0003   1.6
     ABAZ0001   0.3
     ABAZ0002   0.3
     ABBA0001   0.6
     ABBA0002   0.3
     ABBB0002   0.0
     ABBB0003   0.0
     ABBC0001   0.3
     ABBC0002   0.1
     ABBD0002   0.1
     ABBE0001   0.0
     ABBE0002   0.0
     ABBF0001   0.0
     ABBF0003   0.0
     ABBG0001   0.0
     ABBG0002   0.3
     ABBH0003   1.0
ABAB0003    20.99    12.38     0.36    1    1    0    0
   10
     ABAA0001   0.0
     ABAA0002   0.0
     ABAA0003   0.0
     ABAB0001  23.2
     ABAB0002  76.7
     ABAB0003   0.0
     ABAC0001   0.0
     ABAC0002   0.0
     ABAC0003   0.8
     ABAD0002   0.0
     ABAD0003   0.0
     ABAE0001   0.0
     ABAE0002   0.0
     ABAE0003   1.3
     ABAF0001   0.0
     ABAF0002   0.0
     ABAF0003   0.0
     ABAG0001   0.0
     ABAG0002   0.0
     ABAG0003   0.0
     ABAH0001   0.1
     ABAH0002  65.0
     ABAH0003   4.7
     ABAI0001   0.0
     ABAI0002   8.6
     ABAI0003   0.1
     ABAJ0001   0.0
     ABAJ0002   1.7
     ABAK0001   5.1
     ABAK0002  26.2
     ABAL0001   0.0
     ABAL0002   0.0
     ABAL0003   0.1
     ABAM0001   0.0
     ABAM0002   0.0
     ABAN0001   0.0
     ABAN0002   0.0
     ABAN0003   0.0
     ABAO0001   0.0
     ABAO0002   0.0
     ABAO0003   0.4
     ABAP0001   0.0
     ABAP0002  33.1
     ABAQ0003   0.0
     ABAQ0004   0.0
     ABAR0001   0.6
     ABAR0002   0.0
     ABAS0003   0.0
     ABAS0004   0.8
     ABAT0001   0.0
     ABAT0002   0.1
     ABAV0002   0.0
     ABAV0003   0.1
     ABAW0001   0.0
     ABAW0002   1.8
     ABAX0001   0.0
     ABAX0002   0.0
     ABAX0003   0.0
     ABAY0002  20.0
     ABAY0003   0.0
     ABAZ0001   0.0
     ABAZ0002   0.0
     ABBA0001   0.0
     ABBA0002   0.0
     ABBB0002   0.0
     ABBB0003   0.0
     ABBC0001   0.4
     ABBC0002   0.0
     ABBD0002   0.0
