Temp. level:    0.199     Acceptance ratio:    0.020     Current cost:        6.210
Temp. level:    0.195     Acceptance ratio:    0.004     Current cost:        7.467
Temp. level:    0.191     Acceptance ratio:    0.002     Current cost:        6.569
Temp. level:    0.187     Acceptance ratio:    0.007     Current cost:        7.750
Temp. level:    0.183     Acceptance ratio:    0.011     Current cost:        7.659
Temp. level:    0.180     Acceptance ratio:    0.003     Current cost:        5.273
Temp. level:    0.176     Acceptance ratio:    0.002     Current cost:        7.734
Temp. level:    0.172     Acceptance ratio:    0.002     Current cost:        5.422
Temp. level:    0.169     Acceptance ratio:    0.003     Current cost:        5.415
Temp. level:    0.166     Acceptance ratio:    0.001     Current cost:        4.388
Temp. level:    0.162     Acceptance ratio:    0.001     Current cost:        4.123
Temp. level:    0.159     Acceptance ratio:    0.001     Current cost:        3.941
Temp. level:    0.156     Acceptance ratio:    0.000     Current cost:        3.941
Temp. level:    0.153     Acceptance ratio:    0.000     Current cost:        3.764
Temp. level:    0.150     Acceptance ratio:    0.000     Current cost:        3.451
Temp. level:    0.147     Acceptance ratio:    0.000     Current cost:        3.400
Temp. level:    0.144     Acceptance ratio:    0.000     Current cost:        3.400
Temp. level:    0.141     Acceptance ratio:    0.000     Current cost:        3.428
Temp. level:    0.138     Acceptance ratio:    0.000     Current cost:        3.253
Temp. level:    0.135     Acceptance ratio:    0.001     Current cost:        3.420
Temp. level:    0.133     Acceptance ratio:    0.000     Current cost:        3.196
Temp. level:    0.130     Acceptance ratio:    0.000     Current cost:        3.196
Temp. level:    0.127     Acceptance ratio:    0.000     Current cost:        3.260
Temp. level:    0.125     Acceptance ratio:    0.000     Current cost:        3.201
Temp. level:    0.122     Acceptance ratio:    0.000     Current cost:        3.242
Temp. level:    0.120     Acceptance ratio:    0.000     Current cost:        3.242
Temp. level:    0.117     Acceptance ratio:    0.000     Current cost:        3.279
Temp. level:    0.115     Acceptance ratio:    0.000     Current cost:        3.131
Temp. level:    0.113     Acceptance ratio:    0.000     Current cost:        3.028
Temp. level:    0.111     Acceptance ratio:    0.000     Current cost:        2.921
Temp. level:    0.108     Acceptance ratio:    0.000     Current cost:        2.912
Temp. level:    0.106     Acceptance ratio:    0.000     Current cost:        2.568
Temp. level:    0.104     Acceptance ratio:    0.000     Current cost:        2.568
Temp. level:    0.102     Acceptance ratio:    0.000     Current cost:        2.599
Temp. level:    0.100     Acceptance ratio:    0.001     Current cost:        2.372
Temp. level:    0.098     Acceptance ratio:    0.001     Current cost:        2.370
Temp. level:    0.096     Acceptance ratio:    0.000     Current cost:        2.240
Temp. level:    0.094     Acceptance ratio:    0.000     Current cost:        2.240
Temp. level:    0.092     Acceptance ratio:    0.000     Current cost:        2.240
Temp. level:    0.090     Acceptance ratio:    0.001     Current cost:        2.167
Temp. level:    0.089     Acceptance ratio:    0.000     Current cost:        2.116
Temp. level:    0.087     Acceptance ratio:    0.000     Current cost:        2.133
Temp. level:    0.085     Acceptance ratio:    0.000     Current cost:        2.133
Temp. level:    0.083     Acceptance ratio:    0.000     Current cost:        2.133
Temp. level:    0.082     Acceptance ratio:    0.000     Current cost:        2.078
Temp. level:    0.080     Acceptance ratio:    0.000     Current cost:        1.977
Temp. level:    0.078     Acceptance ratio:    0.000     Current cost:        1.926
Temp. level:    0.077     Acceptance ratio:    0.000     Current cost:        1.837
Temp. level:    0.075     Acceptance ratio:    0.000     Current cost:        1.837
Temp. level:    0.074     Acceptance ratio:    0.000     Current cost:        1.837
Temp. level:    0.072     Acceptance ratio:    0.000     Current cost:        1.848
Temp. level:    0.071     Acceptance ratio:    0.000     Current cost:        1.823
Temp. level:    0.069     Acceptance ratio:    0.000     Current cost:        1.816
Temp. level:    0.068     Acceptance ratio:    0.000     Current cost:        1.817
Temp. level:    0.067     Acceptance ratio:    0.001     Current cost:        1.744
Temp. level:    0.065     Acceptance ratio:    0.000     Current cost:        1.711
Temp. level:    0.064     Acceptance ratio:    0.001     Current cost:        1.525
Temp. level:    0.063     Acceptance ratio:    0.000     Current cost:        1.477
Temp. level:    0.062     Acceptance ratio:    0.001     Current cost:        1.427
Temp. level:    0.060     Acceptance ratio:    0.000     Current cost:        1.427
Temp. level:    0.059     Acceptance ratio:    0.000     Current cost:        1.427
Temp. level:    0.058     Acceptance ratio:    0.000     Current cost:        1.427
Temp. level:    0.057     Acceptance ratio:    0.000     Current cost:        1.427
