Non-optimal chan    2 proposed ABAI0002 at cool      14 iteration       6
Non-optimal chan   34 proposed ABAI0002 at cool      14 iteration      24
Non-optimal chan   30 proposed ABAI0002 at cool      14 iteration      41
Non-optimal chan   10 proposed ABAI0002 at cool      14 iteration      74
Non-optimal chan    2 proposed ABAI0002 at cool      14 iteration      78
Non-optimal chan   25 proposed ABAI0002 at cool      15 iteration       9
Non-optimal chan   17 proposed ABAI0002 at cool      15 iteration      26
Non-optimal chan    4 proposed ABAI0002 at cool      15 iteration      44
Non-optimal chan   25 proposed ABAI0002 at cool      16 iteration      12
Non-optimal chan   32 proposed ABAI0002 at cool      16 iteration      15
Non-optimal chan   29 proposed ABAI0002 at cool      16 iteration      35
Non-optimal chan   13 proposed ABAI0002 at cool      16 iteration      46
Non-optimal chan    1 proposed ABAI0002 at cool      16 iteration      70
Non-optimal chan   38 proposed ABAI0002 at cool      16 iteration      81
Non-optimal chan   31 proposed ABAI0002 at cool      17 iteration       8
Non-optimal chan   21 proposed ABAL0003 at cool      17 iteration      18
Non-optimal chan    2 proposed ABAI0002 at cool      17 iteration      52
Non-optimal chan   21 proposed ABAI0002 at cool      18 iteration       2
Non-optimal chan   33 proposed ABAI0002 at cool      18 iteration      11
Non-optimal chan   14 proposed ABAI0002 at cool      18 iteration      32
Non-optimal chan    3 proposed ABAI0002 at cool      18 iteration      71
Non-optimal chan    9 proposed ABAI0002 at cool      19 iteration      50
Non-optimal chan   25 proposed ABAI0002 at cool      20 iteration      48
Non-optimal chan    3 proposed ABAI0002 at cool      21 iteration      76
Non-optimal chan   13 proposed ABAI0002 at cool      23 iteration      68
Non-optimal chan    8 proposed ABAI0002 at cool      23 iteration      71
Non-optimal chan    9 proposed ABAI0002 at cool      25 iteration      77
Non-optimal chan   17 proposed ABAI0002 at cool      25 iteration      98
Non-optimal chan    6 proposed ABAI0002 at cool      26 iteration      56
Non-optimal chan   12 proposed ABAI0002 at cool      28 iteration      90
Non-optimal chan   40 proposed ABAI0002 at cool      30 iteration      89
